,MSSubClass,LotFrontage,LotArea,Alley,LotShape,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,YrSold,TotalSF,TotalBathrooms,Total_porch_sf,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Street_Pave,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_No Garage,GarageYrBlt_1896.0,GarageYrBlt_1900.0,GarageYrBlt_1906.0,GarageYrBlt_1908.0,GarageYrBlt_1910.0,GarageYrBlt_1914.0,GarageYrBlt_1915.0,GarageYrBlt_1916.0,GarageYrBlt_1917.0,GarageYrBlt_1918.0,GarageYrBlt_1919.0,GarageYrBlt_1920.0,GarageYrBlt_1921.0,GarageYrBlt_1922.0,GarageYrBlt_1923.0,GarageYrBlt_1924.0,GarageYrBlt_1925.0,GarageYrBlt_1926.0,GarageYrBlt_1927.0,GarageYrBlt_1928.0,GarageYrBlt_1929.0,GarageYrBlt_1930.0,GarageYrBlt_1931.0,GarageYrBlt_1932.0,GarageYrBlt_1933.0,GarageYrBlt_1934.0,GarageYrBlt_1935.0,GarageYrBlt_1936.0,GarageYrBlt_1937.0,GarageYrBlt_1938.0,GarageYrBlt_1939.0,GarageYrBlt_1940.0,GarageYrBlt_1941.0,GarageYrBlt_1942.0,GarageYrBlt_1943.0,GarageYrBlt_1945.0,GarageYrBlt_1946.0,GarageYrBlt_1947.0,GarageYrBlt_1948.0,GarageYrBlt_1949.0,GarageYrBlt_1950.0,GarageYrBlt_1951.0,GarageYrBlt_1952.0,GarageYrBlt_1953.0,GarageYrBlt_1954.0,GarageYrBlt_1955.0,GarageYrBlt_1956.0,GarageYrBlt_1957.0,GarageYrBlt_1958.0,GarageYrBlt_1959.0,GarageYrBlt_1960.0,GarageYrBlt_1961.0,GarageYrBlt_1962.0,GarageYrBlt_1963.0,GarageYrBlt_1964.0,GarageYrBlt_1965.0,GarageYrBlt_1966.0,GarageYrBlt_1967.0,GarageYrBlt_1968.0,GarageYrBlt_1969.0,GarageYrBlt_1970.0,GarageYrBlt_1971.0,GarageYrBlt_1972.0,GarageYrBlt_1973.0,GarageYrBlt_1974.0,GarageYrBlt_1975.0,GarageYrBlt_1976.0,GarageYrBlt_1977.0,GarageYrBlt_1978.0,GarageYrBlt_1979.0,GarageYrBlt_1980.0,GarageYrBlt_1981.0,GarageYrBlt_1982.0,GarageYrBlt_1983.0,GarageYrBlt_1984.0,GarageYrBlt_1985.0,GarageYrBlt_1986.0,GarageYrBlt_1987.0,GarageYrBlt_1988.0,GarageYrBlt_1989.0,GarageYrBlt_1990.0,GarageYrBlt_1991.0,GarageYrBlt_1992.0,GarageYrBlt_1993.0,GarageYrBlt_1994.0,GarageYrBlt_1995.0,GarageYrBlt_1996.0,GarageYrBlt_1997.0,GarageYrBlt_1998.0,GarageYrBlt_1999.0,GarageYrBlt_2000.0,GarageYrBlt_2001.0,GarageYrBlt_2002.0,GarageYrBlt_2003.0,GarageYrBlt_2004.0,GarageYrBlt_2005.0,GarageYrBlt_2006.0,GarageYrBlt_2007.0,GarageYrBlt_2008.0,GarageYrBlt_2009.0,GarageYrBlt_2010.0,GarageYrBlt_2207.0,GarageYrBlt_No Garage,MiscFeature_None,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial
1257,4.237728197698832,6.653921148278169,20.706844043033172,1.7304631471189666,1.0,1.0,3.2596737867230705,2.820334103642824,15.19064737641105,15.19064737641105,8.897190279129997,2.194317637875777,2.820334103642824,2.194317637875777,2.820334103642824,1.7304631471189666,2.194317637875777,11.971129399749735,3.2596737867230705,1.0,9.114592997374732,12.69262258528247,1.0,1.7304631471189666,13.562894319909493,1.0,1.0,13.562894319909493,1.7304631471189666,1.0,2.194317637875777,1.0,2.194317637875777,1.7304631471189666,2.194317637875777,3.055641538058108,3.2596737867230705,1.0,2.5409627556327754,1.0,2.194317637875777,10.715841640087826,3.055641538058108,3.055641538058108,2.194317637875777,9.232627042257835,1.0,1.0,1.0,1.0,1.0,2.5409627556327754,2.820334103642824,1.0,3.750250297485029,2.194317637875777,15.217065913603108,2.5409627556327754,9.232627042257835,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
502,3.055641538058108,6.968980585391403,20.531520767444604,1.7304631471189666,2.5409627556327754,1.0,2.820334103642824,3.2596737867230705,15.127727309259253,15.127727309259253,1.0,2.5409627556327754,2.820334103642824,2.820334103642824,2.820334103642824,2.5409627556327754,1.0,12.139905219055976,2.194317637875777,7.574446614595114,10.835883259370169,13.67951148163445,1.0,1.7304631471189666,13.67951148163445,1.0,1.0,13.67951148163445,1.7304631471189666,1.0,1.7304631471189666,1.0,2.194317637875777,1.7304631471189666,2.5409627556327754,3.2596737867230705,3.2596737867230705,1.0,2.5409627556327754,2.5409627556327754,2.194317637875777,11.067536496617619,1.7304631471189666,1.7304631471189666,2.194317637875777,1.0,1.0,8.920955300440632,1.0,1.0,1.0,2.5409627556327754,1.0,10.715841640087826,3.2596737867230705,1.7304631471189666,15.797936718741157,2.194317637875777,8.920955300440632,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1023,3.055641538058108,7.268453117386751,22.67688649446843,1.7304631471189666,1.0,1.0,3.440268378362637,3.055641538058108,15.145138012244155,15.145138012244155,1.0,2.194317637875777,2.820334103642824,2.194317637875777,2.820334103642824,1.0,1.0,13.560421753361561,2.5409627556327754,10.715841640087826,1.0,14.430160824927695,2.820334103642824,1.7304631471189666,16.37507830787191,1.0,1.0,16.37507830787191,1.7304631471189666,1.0,2.194317637875777,1.0,2.194317637875777,1.7304631471189666,2.194317637875777,3.885846472488202,3.2596737867230705,1.7304631471189666,2.194317637875777,1.0,2.194317637875777,12.011200869538248,3.055641538058108,3.055641538058108,2.194317637875777,1.0,7.02174235239564,8.799865873444876,1.0,1.0,1.0,2.5409627556327754,2.820334103642824,1.0,3.440268378362637,2.194317637875777,17.8495454475528,2.5409627556327754,9.567309925236039,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639,1.0,6.744420430279228,21.83546475502755,1.7304631471189666,1.0,1.0,3.440268378362637,2.820334103642824,15.187526814497952,15.189087426187385,11.126705474481206,1.0,2.820334103642824,1.0,2.820334103642824,1.7304631471189666,2.194317637875777,13.689051809657878,3.2596737867230705,1.0,10.025890350388508,14.338510737780748,1.0,1.7304631471189666,14.338510737780748,1.0,1.0,14.338510737780748,1.0,1.0,1.7304631471189666,1.7304631471189666,1.7304631471189666,1.7304631471189666,1.0,3.2596737867230705,3.2596737867230705,1.7304631471189666,2.194317637875777,2.194317637875777,2.194317637875777,11.68838996487107,3.055641538058108,3.055641538058108,2.194317637875777,8.93275602028482,8.338607270038526,1.0,1.0,1.0,1.0,2.5409627556327754,2.820334103642824,1.0,3.2596737867230705,2.194317637875777,16.529371336892925,1.9822467037532343,10.214828287694681,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
91,3.055641538058108,7.337529394588084,20.23509144804234,1.7304631471189666,2.5409627556327754,1.0,2.820334103642824,2.194317637875777,15.121375611147648,15.121375611147648,9.136453549445715,2.5409627556327754,2.820334103642824,2.820334103642824,2.820334103642824,2.5409627556327754,3.055641538058108,11.74097393831022,3.2596737867230705,1.0,11.889403514652981,13.729303683571777,2.820334103642824,1.7304631471189666,13.729303683571777,1.0,1.0,13.729303683571777,1.0,1.0,1.7304631471189666,1.0,2.194317637875777,1.7304631471189666,2.5409627556327754,3.2596737867230705,3.2596737867230705,1.0,2.5409627556327754,2.5409627556327754,2.194317637875777,11.169007130464756,3.055641538058108,3.055641538058108,2.194317637875777,1.0,1.0,1.0,1.0,1.0,1.0,2.5409627556327754,1.7304631471189666,1.0,2.5409627556327754,1.0,15.853203793880692,1.7304631471189666,1.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
565,3.885846472488202,7.148460831341732,21.328476038810713,1.7304631471189666,1.0,1.0,3.6025944687727294,2.820334103642824,15.19064737641105,15.193765294899782,9.558042564184516,2.194317637875777,2.820334103642824,2.194317637875777,1.7304631471189666,2.5409627556327754,3.2596737867230705,1.0,3.2596737867230705,1.0,13.452356717727342,13.452356717727342,1.0,1.7304631471189666,13.482863374096516,14.033248644718197,1.0,15.897361998901673,1.0,1.0,2.194317637875777,1.7304631471189666,2.820334103642824,1.7304631471189666,1.0,4.0113402432628344,3.2596737867230705,1.7304631471189666,2.194317637875777,1.0,2.5409627556327754,11.975159821976275,3.055641538058108,3.055641538058108,2.194317637875777,8.39749795772246,5.9269180446816625,1.0,1.0,1.0,1.0,2.5409627556327754,2.820334103642824,1.0,3.6025944687727294,2.194317637875777,17.128400398895813,2.3782017963726023,8.909100235945502,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1391,2.820334103642824,6.684506656824126,21.18234699371091,2.194317637875777,2.5409627556327754,1.0,3.055641538058108,3.2596737867230705,15.031275798603609,15.182841004523032,1.0,2.5409627556327754,2.820334103642824,1.7304631471189666,2.820334103642824,2.5409627556327754,3.2596737867230705,1.0,3.2596737867230705,1.0,11.179489042314811,11.179489042314811,1.0,1.0,13.696189608598159,12.113042599688864,1.0,15.042660370630959,1.0,1.0,2.194317637875777,1.0,2.5409627556327754,2.194317637875777,2.5409627556327754,3.440268378362637,3.2596737867230705,1.7304631471189666,3.055641538058108,2.5409627556327754,2.194317637875777,12.038947685692156,2.194317637875777,3.055641538058108,2.194317637875777,1.0,5.2014612941903655,9.232627042257835,1.0,1.0,1.0,2.5409627556327754,2.820334103642824,1.0,3.2596737867230705,2.194317637875777,15.752598561603806,2.194317637875777,9.48272816323603,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1034,3.055641538058108,6.817079684419317,21.436440446878127,1.7304631471189666,1.0,1.0,2.5409627556327754,2.194317637875777,15.115012896462307,15.115012896462307,1.0,2.5409627556327754,2.194317637875777,2.5409627556327754,2.194317637875777,2.820334103642824,2.820334103642824,1.0,2.820334103642824,1.0,1.0,1.0,1.0,1.0,12.657080698464595,1.0,1.0,12.657080698464595,1.0,1.0,1.7304631471189666,1.0,2.5409627556327754,1.7304631471189666,2.5409627556327754,3.055641538058108,3.2596737867230705,1.0,2.5409627556327754,2.5409627556327754,1.7304631471189666,9.946560885133437,3.055641538058108,3.055641538058108,1.0,8.944502934774821,1.0,1.0,1.0,1.0,1.0,2.5409627556327754,2.820334103642824,1.0,1.0,2.5409627556327754,12.657080698464595,1.7304631471189666,8.944502934774821,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
397,3.885846472488202,6.942124359831237,19.798914366000737,1.7304631471189666,2.5409627556327754,1.0,2.820334103642824,2.820334103642824,15.12296456685685,15.12296456685685,9.930417557876343,2.5409627556327754,2.820334103642824,2.820334103642824,2.820334103642824,2.5409627556327754,1.0,11.468499910096941,3.2596737867230705,1.0,10.207511306740143,12.718228468762483,2.820334103642824,1.7304631471189666,12.756262399878192,12.940047219715815,1.0,14.876548341373667,1.0,1.0,2.194317637875777,1.0,2.820334103642824,1.7304631471189666,2.5409627556327754,3.6025944687727294,3.2596737867230705,1.7304631471189666,3.055641538058108,2.194317637875777,1.7304631471189666,9.72889799237455,3.055641538058108,3.055641538058108,2.194317637875777,1.0,8.724358962810534,1.0,1.0,1.0,1.0,2.5409627556327754,2.820334103642824,1.0,3.750250297485029,1.7304631471189666,16.113239111277768,2.194317637875777,8.724358962810534,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
928,3.885846472488202,6.80273872401839,21.941356580652347,1.7304631471189666,1.0,1.0,3.2596737867230705,2.820334103642824,15.178149219316415,15.178149219316415,9.906023604948812,2.5409627556327754,2.820334103642824,2.194317637875777,2.820334103642824,2.5409627556327754,3.2596737867230705,1.0,3.2596737867230705,1.0,13.022409670551795,13.022409670551795,2.194317637875777,1.7304631471189666,13.105599296016027,13.748083127960149,1.0,15.534445248038013,1.0,1.0,2.194317637875777,1.7304631471189666,2.820334103642824,1.7304631471189666,2.194317637875777,3.6025944687727294,3.2596737867230705,1.7304631471189666,3.055641538058108,1.0,2.194317637875777,11.918252927785405,3.055641538058108,3.055641538058108,2.194317637875777,1.0,1.0,1.0,1.0,1.0,1.0,2.5409627556327754,2.820334103642824,1.0,2.194317637875777,1.0,16.705167533311126,2.3782017963726023,1.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
